Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	76970.32	46938.996	126858.79	44982.32
100	65725.22	24232.54	254507.55	18616.69
150	141896.78	51867.574	32150.95	29089.766
200	200350.84	80827.94	49208.05	35017.965
250	321243.3	125384.08	78219.7	49611.824
300	419021.47	163492.12	99982.4	55203.14
350	532711.94	215297.12	125312.69	63500.82
400	689492.9	268142.03	161874.48	77918.56
450	864013.6	344338.25	203873.78	84596.36
500	1075671.9	420038.97	256133.98	95537.87
550	1413849.9	545632.6	337635.75	112992.24
600	1688783.0	642419.94	397854.53	129165.76
650	1749421.8	684633.44	406390.84	128398.3
700	2141552.8	824180.6	498760.47	143391.64
750	2483577.5	962864.94	578685.06	156829.92
800	2610365.0	1003801.7	605005.94	163300.27
850	2710209.2	1093768.5	608461.7	162735.77
900	3841514.2	1410808.4	807000.9	202102.19
950	4451905.0	1571518.8	1229295.8	275408.88
1000	4319114.0	1613104.6	996278.2	214032.16
